Year,GeoType,Borough,Community District Number,Community District Name,Total Population,Average household size,Children,Latino,White non-Hispanic,Black non-Hispanic,Asian,Other race,Two or more races,Total housing units,Occupied housing units,Vacant housing units
2020,CD,Queens,407,Queens Community District 7,"269,587",2.75,"45,543","48,845","55,882","5,412","154,404","1,575","3,469","102,836","97,059","5,777"
2020,CD,Brooklyn,311,Brooklyn Community District 11,"198,870",2.94,"42,380","31,489","72,496","2,353","86,067","1,081","5,384","71,074","67,236","3,838"
2020,CD,Queens,404,Queens Community District 4,"181,025",3.24,"38,213","93,972","9,329","7,679","65,963","1,692","2,390","57,748","55,202","2,546"
2020,CD,Queens,408,Queens Community District 8,"161,402",2.76,"32,754","29,486","44,302","18,682","60,413","3,200","5,319","59,385","56,623","2,762"
2020,CD,Queens,411,Queens Community District 11,"122,211",2.69,"21,612","14,460","41,967","2,641","59,980",779,"2,384","47,357","45,204","2,153"
2020,CD,Manhattan,103,Manhattan Community District 3,"163,141",2.02,"18,955","38,668","55,048","12,776","50,188","1,425","5,036","82,589","76,335","6,254"
2020,CD,Queens,402,Queens Community District 2,"137,981",2.41,"21,892","40,659","39,290","3,784","48,826","1,563","3,859","60,766","56,413","4,353"
2020,CD,Brooklyn,312,Brooklyn Community District 12,"205,377",3.47,"71,693","25,170","121,295","4,794","42,293","6,275","5,550","62,782","58,552","4,230"
2020,CD,Brooklyn,307,Brooklyn Community District 7,"133,230",3.01,"30,146","52,310","31,915","4,209","40,415","1,120","3,261","45,683","43,079","2,604"
2020,CD,Queens,412,Queens Community District 12,"256,278",3.15,"54,033","46,287","4,607","138,219","38,934","13,450","14,781","84,092","79,827","4,265"
2020,CD,Queens,409,Queens Community District 9,"152,839",3.16,"31,566","63,620","23,074","10,224","38,802","9,768","7,351","50,877","48,117","2,760"
2020,CD,Queens,406,Queens Community District 6,"120,955",2.25,"20,995","19,946","53,244","3,490","37,288","1,637","5,350","56,695","53,485","3,210"
2020,CD,Queens,413,Queens Community District 13,"199,218",3.1,"35,861","24,911","18,192","102,711","36,954","7,057","9,393","66,259","63,211","3,048"
2020,CD,Brooklyn,310,Brooklyn Community District 10,"136,071",2.58,"27,530","23,233","69,293","2,356","36,619","1,039","3,531","55,768","52,460","3,308"
2020,CD,Queens,403,Queens Community District 3,"179,134",3.16,"37,590","113,447","17,643","8,690","34,456","2,210","2,688","59,119","56,025","3,094"
2020,CD,Brooklyn,315,Brooklyn Community District 15,"169,632",2.66,"36,851","15,688","105,734","6,649","34,358","1,296","5,907","67,322","63,097","4,225"
2020,CD,Queens,401,Queens Community District 1,"196,803",2.23,"27,312","50,073","90,578","15,281","29,989","3,037","7,845","90,547","85,697","4,850"
2020,CD,Queens,410,Queens Community District 10,"129,411",3.11,"24,525","30,587","25,678","17,971","27,838","16,205","11,132","43,252","41,213","2,039"
2020,CD,Manhattan,106,Manhattan Community District 6,"155,614",1.73,"14,281","13,779","101,605","5,424","27,293","1,474","6,039","99,371","87,186","12,185"
2020,CD,Manhattan,108,Manhattan Community District 8,"231,983",1.87,"33,594","18,517","170,406","6,257","26,536","1,789","8,478","138,922","122,565","16,357"
2020,CD,Staten Island,502,Staten Island Community District 2,"140,795",2.83,"28,715","20,181","85,970","4,901","25,887","1,052","2,804","51,599","48,690","2,909"
2020,CD,Manhattan,104,Manhattan Community District 4,"131,351",1.68,"11,444","23,249","69,509","9,075","22,933","1,258","5,327","84,357","75,001","9,356"
2020,CD,Manhattan,107,Manhattan Community District 7,"222,129",1.93,"32,905","32,844","139,967","14,946","22,826","2,163","9,383","126,397","110,770","15,627"
2020,CD,Brooklyn,314,Brooklyn Community District 14,"164,568",2.74,"36,180","24,726","61,736","46,445","21,317","2,332","8,012","62,254","59,355","2,899"
